"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX"
"40","0.9579394936561585","0.9459865093231201","0.966741681098938","0.7943235784769058","0.7600650191307068","0.8167041540145874","0.913178288936615","0.894723653793335","0.928607165813446","0.187796950340271","0.15741434693336487","0.21017754077911377","0.9399349808692932","0.9277319312095642","0.9552388191223145","0.7654163479804993","0.748062014579773","0.7975744009017944"
"41","0.9632408261299134","0.9577394127845764","0.9657414555549622","0.7972618043422699","0.7766941785812378","0.8170792460441589","0.9110777616500855","0.8928481936454773","0.9372342824935913","0.16354088634252548","0.08652163296937943","0.27144286036491394","0.9456364035606384","0.936609148979187","0.9559890031814575","0.7697174191474915","0.7275568842887878","0.8004500865936279"
"42","0.9638659715652466","0.9608651995658875","0.9681170582771301","0.7872905731201172","0.7469367384910583","0.8252062797546387","0.924081027507782","0.9186046719551086","0.9321080446243286","0.16541635245084763","0.06639159470796585","0.3632158041000366","0.9393598318099976","0.9218554496765137","0.9569892287254333","0.7804701209068299","0.740810215473175","0.8330832719802856"
"43","0.9632408142089843","0.9548637270927429","0.9693673253059387","0.7965428829193115","0.7688171863555908","0.8269567489624023","0.9337584495544433","0.9282320737838745","0.9436109066009521","0.1554638661444187","0.05151287838816643","0.2260565161705017","0.9413103222846985","0.9364840984344482","0.9448612332344055","0.7778944730758667","0.7531883120536804","0.7998249530792236"
"44","0.9631157755851746","0.9562390446662903","0.9682420492172241","0.7888534665107727","0.7774443626403809","0.801075279712677","0.9146536707878112","0.8794698715209961","0.9371092915534973","0.12546886876225471","0.07151787728071213","0.17079269886016846","0.9391597867012024","0.9318579435348511","0.9471117854118347","0.7942485570907593","0.7834458351135254","0.8054513335227966"
"45","0.9654663801193237","0.9639909863471985","0.9679920077323914","0.8187359273433685","0.8017004132270813","0.8455864191055298","0.9308577299118042","0.9182295799255371","0.9393598437309265","0.17154288291931152","0.10115028917789459","0.2615653872489929","0.9434608459472656","0.9353588223457336","0.9562390446662903","0.8014503717422485","0.7926981449127197","0.8165791630744934"
"46","0.9674668669700622","0.96436607837677","0.9687421917915344","0.7940735071897507","0.7761940360069275","0.8032007813453674","0.9401600360870361","0.9336084127426147","0.9449862241744995","0.14272318221628666","0.07801950722932816","0.18767191469669342","0.9369092106819152","0.9098524451255798","0.9586146473884583","0.7843961119651794","0.759189784526825","0.8027006983757019"
"47","0.9646411776542664","0.9607402086257935","0.9681170582771301","0.7956989258527756","0.7798199653625488","0.8248311877250671","0.9220805287361145","0.8958489894866943","0.9331082701683044","0.13940985314548016","0.07626906782388687","0.18017004430294037","0.9348086953163147","0.9192298054695129","0.9539884924888611","0.7758439540863037","0.7475618720054626","0.8187046647071838"
"48","0.9657164454460144","0.9603651165962219","0.9702425599098206","0.8056076467037201","0.7553138136863708","0.8308327198028564","0.936384093761444","0.9307326674461365","0.944611132144928","0.12028007209300995","0.0711427852511406","0.16441610455513","0.9535883903503418","0.9377344250679016","0.9617404341697693","0.7863465905189514","0.7308077216148376","0.8313328623771667"
"49","0.9619154810905457","0.9562390446662903","0.9668667316436768","0.8283008337020874","0.8104526400566101","0.8463366031646729","0.9287071704864502","0.9131032824516296","0.942110538482666","0.15619529783725739","0.11340335011482239","0.18467116355895996","0.9577644348144532","0.9516128897666931","0.9637409448623657","0.7849212288856506","0.7430607676506042","0.801075279712677"
