"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"63","0.035388794541358945","0.030546624213457108","0.04348931834101677","0.04232455790042877","0.029948659241199493","0.05192093551158905","0.6376842856407166","0.5980929732322693","0.6919217109680176","0.5774035334587098","0.559148907661438","0.5892732739448547","0.42839043140411376","0.3628896474838257","0.46074530482292175"
"64","0.03687569871544838","0.030933193862438202","0.04125583916902542","0.034347184002399445","0.02081816829741001","0.04739203676581383","0.6749134063720703","0.6426125168800354","0.7081921100616455","0.5773159861564636","0.5587093234062195","0.5887343287467957","0.4208225190639496","0.38334599137306213","0.460225909948349"
"65","0.03432038649916649","0.03038710542023182","0.04389871656894684","0.03579431679099798","0.026772581040859222","0.05644257739186287","0.6496672431627909","0.6080515384674072","0.7226243019104004","0.5798151969909668","0.565748393535614","0.5852742195129395","0.4102374970912933","0.36693713068962097","0.45328885316848755"
"66","0.037409615516662595","0.0330844484269619","0.04126337170600891","0.04379074368625879","0.03119160607457161","0.06389552354812622","0.6894921461741129","0.6818181872367859","0.7027234435081482","0.5771100044250488","0.5494511723518372","0.5872169733047485","0.43378786444664","0.389212965965271","0.4630016088485718"
"67","0.03483707942068577","0.030873006209731102","0.03737594932317734","0.0462567419745028","0.025822928175330162","0.08672799170017242","0.596224824587504","0.54347825050354","0.6573657393455505","0.5792598485946655","0.5599145889282227","0.590689480304718","0.4163906753063202","0.37071293592453003","0.46422281861305237"
"68","0.03425338193774223","0.027158865705132484","0.04055088013410568","0.031504327431321144","0.030152887105941772","0.03235547989606857","0.6027099788188934","0.5304932594299316","0.6749266982078552","0.5755303502082825","0.540617048740387","0.5912621021270752","0.43698477149009707","0.3846963047981262","0.4858483374118805"
"69","0.03656568303704262","0.03071141615509987","0.04512703791260719","0.03501724870875478","0.024439046159386635","0.046953603625297546","0.5869607627391815","0.571489155292511","0.602432370185852","0.5793925762176514","0.5576018691062927","0.5890101790428162","0.4376220166683197","0.3785064220428467","0.49058642983436584"
"70","0.03311380296945572","0.020433694124221802","0.03983960673213005","0.03256936930119991","0.01995890773832798","0.06353479623794556","0.60916668176651","0.5639158487319946","0.6544175148010254","0.5817588686943054","0.5680558085441589","0.592517614364624","0.4304914653301239","0.41187432408332825","0.472184956073761"
"71","0.03581881374120712","0.03218631446361542","0.04052671790122986","0.03185272216796875","0.015517756342887878","0.04215686395764351","0.5555980801582336","0.5384988784790039","0.5726972818374634","0.575025451183319","0.556463897228241","0.5881951451301575","0.4395124793052673","0.40037310123443604","0.49563369154930115"
"72","0.037810219824314116","0.03344051539897919","0.043710291385650635","0.036867931950837374","0.020008763298392296","0.05272969231009483","0.5959170460700989","0.5107061266899109","0.6811279654502869","0.5812543749809265","0.5689417719841003","0.5888652205467224","0.439300948381424","0.3831150531768799","0.5143762826919556"
