"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (Proposed) - In distribution over conf 0.95: ACC","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MIN","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"41","0.7915144920349121","0.7845970988273621","0.7996951937675476","0.9209216952323913","0.9137787222862244","0.9298577904701233","0.746862268447876","0.7313544154167175","0.7524420022964478","0.7639493227005005","0.6954218745231628","0.7955010533332825","0.7751365661621094","0.7640271782875061","0.7913859486579895","0.7569665670394897","0.743880033493042","0.7729290723800659"
"42","0.7866005539894104","0.7753318548202515","0.7957722544670105","0.9183528661727905","0.9127174615859985","0.9253275990486145","0.7408938050270081","0.7245775461196899","0.7555555701255798","0.7609020709991455","0.6919032335281372","0.807540774345398","0.775697386264801","0.761642575263977","0.7926110625267029","0.7522935032844543","0.7357388734817505","0.7742085456848145"
"43","0.7899836421012878","0.7785109877586365","0.7984483242034912","0.9192147493362427","0.914893627166748","0.9222222566604614","0.7370851874351502","0.7243107557296753","0.7457227110862732","0.7305862307548523","0.6177939176559448","0.782216489315033","0.772570264339447","0.7504393458366394","0.8024091124534607","0.7526673913002014","0.7317577004432678","0.7730222344398499"
"44","0.7898069977760315","0.7789350152015686","0.8002346158027649","0.9186217188835144","0.9098039865493774","0.9252681136131287","0.734068489074707","0.717430055141449","0.743852436542511","0.7587128520011902","0.704024076461792","0.8269401788711548","0.7807911396026611","0.7453794479370117","0.8094223737716675","0.7493262767791748","0.7396782040596008","0.7583962082862854"
"45","0.7901253461837768","0.7757260203361511","0.8046940565109253","0.9165056109428406","0.9059036374092102","0.9226305484771729","0.7410341739654541","0.7284898161888123","0.7501136660575867","0.7577398300170899","0.7141057848930359","0.7929028868675232","0.7773987054824829","0.7555151581764221","0.7894505858421326","0.7471394777297974","0.7313969135284424","0.7632417678833008"
"46","0.7836323499679565","0.7765957117080688","0.7876780033111572","0.9216032385826111","0.9115513563156128","0.9305636286735535","0.7322455763816833","0.7142857313156128","0.75007563829422","0.7658114552497863","0.6803685426712036","0.8080645203590393","0.7758440732955932","0.7544524073600769","0.8001800179481506","0.7467006564140319","0.7338637113571167","0.7575937509536743"
"47","0.7917917609214783","0.7797498106956482","0.7999002933502197","0.9141669750213623","0.9023789763450623","0.9204111695289612","0.7303874254226684","0.7160634994506836","0.7416762113571167","0.7455252528190612","0.7158448100090027","0.7734165787696838","0.7786936163902283","0.7688585519790649","0.7895663380622864","0.7475578188896179","0.7337585687637329","0.7667220830917358"
"48","0.7971819996833801","0.7839662432670593","0.8073441982269287","0.9168312788009644","0.9084126949310303","0.9234081506729126","0.7307546615600586","0.7160351276397705","0.7439684271812439","0.74420565366745","0.6964786648750305","0.7677677273750305","0.7686043024063111","0.7515202760696411","0.7996841669082642","0.7420480370521545","0.7235559225082397","0.758270800113678"
"49","0.7900895357131958","0.7722591161727905","0.7982689142227173","0.919161570072174","0.9102867841720581","0.9265915155410767","0.729445481300354","0.7157281041145325","0.7392062544822693","0.7212265014648438","0.6699690222740173","0.7788986563682556","0.7657727599143982","0.7400553226470947","0.7887510657310486","0.7437228560447693","0.7378847599029541","0.7541105151176453"
"50","0.7923209071159363","0.7757817506790161","0.7981942892074585","0.9180997014045715","0.902319610118866","0.9278861284255981","0.7298864364624024","0.7143867015838623","0.746246874332428","0.7420526146888733","0.6519657969474792","0.7947530746459961","0.77364102602005","0.7592471241950989","0.8041542768478394","0.7380134463310242","0.7199364900588989","0.7532789707183838"
