"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX"
"41","0.7470250010490418","0.7352499961853027","0.7596250176429749","0.41707500219345095","0.39024999737739563","0.4556249976158142","0.8247249960899353","0.7990000247955322","0.844124972820282","0.22572499811649321","0.1783750057220459","0.33037498593330383","0.5555999994277954","0.5195000171661377","0.5832499861717224","0.8074749946594239","0.7904999852180481","0.8203750252723694"
"42","0.7526750087738037","0.7438750267028809","0.7612500190734863","0.43027499318122864","0.406125009059906","0.46687498688697815","0.836299991607666","0.7947499752044678","0.8716250061988831","0.26669999957084656","0.2006250023841858","0.3566249907016754","0.5503000020980835","0.5320000052452087","0.5652499794960022","0.8146999955177308","0.7950000166893005","0.8371250033378601"
"43","0.7510999917984009","0.7387499809265137","0.7572500109672546","0.4113499939441681","0.3882499933242798","0.4230000078678131","0.849875009059906","0.8370000123977661","0.8601250052452087","0.23737500309944154","0.1940000057220459","0.27537500858306885","0.5590250015258789","0.5396249890327454","0.5733749866485596","0.8140750050544738","0.7807499766349792","0.8462499976158142"
"44","0.7517250061035157","0.7441250085830688","0.7632499933242798","0.41297500133514403","0.37299999594688416","0.44624999165534973","0.85902498960495","0.840499997138977","0.8706250190734863","0.2664250016212463","0.14012500643730164","0.3323749899864197","0.5524749994277954","0.527999997138977","0.574874997138977","0.8218500018119812","0.7866250276565552","0.8448749780654907"
"45","0.7509000062942505","0.7446249723434448","0.7680000066757202","0.42137499451637267","0.3877499997615814","0.48487499356269836","0.836899995803833","0.824874997138977","0.8527500033378601","0.25862500071525574","0.19762499630451202","0.29774999618530273","0.5517250061035156","0.5271250009536743","0.5687500238418579","0.8241750121116638","0.8080000281333923","0.8385000228881836"
"46","0.7529500007629395","0.7440000176429749","0.7638750076293945","0.42677500247955324","0.40400001406669617","0.4480000138282776","0.8614500045776368","0.8267499804496765","0.8771250247955322","0.27532499730587007","0.19449999928474426","0.3527500033378601","0.5501999855041504","0.5389999747276306","0.5615000128746033","0.8227750062942505","0.8056250214576721","0.843625009059906"
"47","0.7483999967575073","0.7394999861717224","0.7590000033378601","0.44065000414848327","0.4256249964237213","0.4571250081062317","0.8725499987602234","0.8547499775886536","0.8821250200271606","0.2658250033855438","0.21375000476837158","0.30924999713897705","0.5562250018119812","0.5351250171661377","0.5683749914169312","0.8304250001907348","0.8258749842643738","0.8427500128746033"
"48","0.742300009727478","0.7318750023841858","0.7671250104904175","0.43267500400543213","0.406374990940094","0.4858750104904175","0.8726500034332275","0.8548750281333923","0.8992499709129333","0.2956499993801117","0.23999999463558197","0.4011250138282776","0.5753999948501587","0.5541250109672546","0.5982499718666077","0.8329000115394593","0.8149999976158142","0.859125018119812"
"49","0.7509999990463256","0.7480000257492065","0.7544999718666077","0.4407750070095062","0.4103749990463257","0.4751250147819519","0.8746749997138977","0.8598750233650208","0.8849999904632568","0.31057499945163725","0.21312500536441803","0.4037500023841858","0.5666249990463257","0.5487499833106995","0.5876250267028809","0.83052499294281","0.8202499747276306","0.843874990940094"
"50","0.7513999938964844","0.7452499866485596","0.7593749761581421","0.4334250032901764","0.38862499594688416","0.48500001430511475","0.8738499999046325","0.8548750281333923","0.8934999704360962","0.26644999980926515","0.23762500286102295","0.3656249940395355","0.565275001525879","0.5476250052452087","0.5721250176429749","0.8497499942779541","0.8352500200271606","0.8658750057220459"
"51","0.7533750057220459","0.7327499985694885","0.765500009059906","0.4285250067710876","0.36787500977516174","0.4855000078678131","0.8724499940872192","0.8464999794960022","0.8986250162124634","0.29707499742507937","0.19474999606609344","0.4207499921321869","0.5792500019073487","0.5533750057220459","0.6150000095367432","0.8452250003814697","0.8357499837875366","0.8498749732971191"
"52","0.7502500176429748","0.7332500219345093","0.7628750205039978","0.42292500138282774","0.4078750014305115","0.453000009059906","0.8829499959945679","0.8608750104904175","0.9024999737739563","0.2644250005483627","0.20800000429153442","0.3817499876022339","0.5657750010490418","0.5257499814033508","0.6107500195503235","0.8553750038146972","0.84375","0.8611249923706055"
"53","0.7514999985694886","0.7283750176429749","0.7682499885559082","0.44832500219345095","0.4090000092983246","0.4807499945163727","0.8914750099182129","0.8716250061988831","0.906000018119812","0.30885000228881837","0.27649998664855957","0.38962501287460327","0.5734500050544739","0.5227500200271606","0.5952500104904175","0.8507500052452087","0.8360000252723694","0.8654999732971191"
"54","0.7578999996185303","0.7518749833106995","0.768750011920929","0.44164999127388","0.42287498712539673","0.4650000035762787","0.899750006198883","0.8738750219345093","0.909500002861023","0.29949999451637266","0.21912500262260437","0.4372499883174896","0.5725749850273132","0.5273749828338623","0.6017500162124634","0.854200005531311","0.8287500143051147","0.8668749928474426"
"55","0.7585999965667725","0.7521250247955322","0.7682499885559082","0.45339999794960023","0.41975000500679016","0.5357499718666077","0.9008000135421753","0.8796250224113464","0.9135000109672546","0.29072500467300416","0.24012500047683716","0.33137500286102295","0.5763499975204468","0.5206249952316284","0.6231250166893005","0.8514250040054321","0.8307499885559082","0.8730000257492065"
"56","0.7565249919891357","0.7403749823570251","0.7706249952316284","0.441225004196167","0.4221250116825104","0.4658749997615814","0.8996500134468078","0.874625027179718","0.9173750281333923","0.28420000076293944","0.21012499928474426","0.3398750126361847","0.5871250033378601","0.5335000157356262","0.6036249995231628","0.8659750103950501","0.8453750014305115","0.8853750228881836"
"57","0.7569000005722046","0.7411249876022339","0.7681249976158142","0.45762500166893005","0.43050000071525574","0.5238749980926514","0.9089499950408936","0.9028750061988831","0.9172499775886536","0.2828250050544739","0.2356249988079071","0.4036250114440918","0.5907750010490418","0.562375009059906","0.6083750128746033","0.8596500039100647","0.8421249985694885","0.8703749775886536"
"58","0.7554749965667724","0.7408750057220459","0.7757499814033508","0.4354249954223633","0.39912500977516174","0.48124998807907104","0.9001250028610229","0.8776249885559082","0.9190000295639038","0.2918999999761581","0.2436250001192093","0.3903749883174896","0.5883250117301941","0.5507500171661377","0.6046249866485596","0.8789499998092651","0.8602499961853027","0.8952500224113464"
"59","0.7628250122070312","0.7590000033378601","0.7718750238418579","0.45769999623298646","0.41449999809265137","0.5164999961853027","0.9079999923706055","0.8889999985694885","0.9241250157356262","0.2680500000715256","0.16087499260902405","0.359499990940094","0.5667750000953674","0.5476250052452087","0.5797500014305115","0.8652500033378601","0.8445000052452087","0.8928750157356262"
"60","0.7614750027656555","0.7507500052452087","0.7733749747276306","0.4527500033378601","0.41574999690055847","0.5021250247955322","0.9104000091552734","0.8830000162124634","0.9259999990463257","0.31579999923706054","0.25999999046325684","0.39012500643730164","0.5834000110626221","0.5486249923706055","0.5975000262260437","0.8745999932289124","0.856124997138977","0.8930000066757202"
"61","0.7626000046730042","0.7459999918937683","0.7848749756813049","0.4788500010967255","0.4336250126361847","0.5550000071525574","0.9147249937057496","0.90625","0.9213749766349792","0.31062500178813934","0.23462499678134918","0.4180000126361847","0.6033750057220459","0.5597500205039978","0.6356250047683716","0.8730000019073486","0.8546249866485596","0.890625"
"62","0.7614500045776367","0.7418749928474426","0.7760000228881836","0.4610749840736389","0.4113749861717224","0.5456249713897705","0.9191499948501587","0.9068750143051147","0.9352499842643738","0.303125","0.26887500286102295","0.3472500145435333","0.5872750043869018","0.5483750104904175","0.6273750066757202","0.881375002861023","0.8579999804496765","0.9037500023841858"
"63","0.7661500096321106","0.7572500109672546","0.7795000076293945","0.469650000333786","0.40549999475479126","0.5479999780654907","0.919474995136261","0.9086250066757202","0.9317499995231628","0.3322750061750412","0.23212499916553497","0.4492500126361847","0.5956249952316284","0.5820000171661377","0.6129999756813049","0.8954000115394593","0.8855000138282776","0.9033750295639038"
