"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MAX"
"52","0.93800950050354","0.930232584476471","0.945361316204071","0.9723680973052978","0.9648662209510803","0.9776194095611572","0.04138534627854824","0.01600400172173977","0.07739435136318207","0.9712928295135498","0.9648662209510803","0.9784946441650391","0.7412853121757508","0.7170542478561401","0.7874468564987183","0.8317912618319193","0.8205801248550415","0.8379594683647156"
"53","0.937584400177002","0.9317329525947571","0.9426106810569763","0.9723180770874024","0.9604901075363159","0.9806201457977295","0.06119029708206654","0.02488121949136257","0.09464865922927856","0.9753938436508178","0.969867467880249","0.9836208820343018","0.7518129587173462","0.72893226146698","0.7843210697174072","0.8196632464726766","0.7835708856582642","0.8387096524238586"
"54","0.9409852385520935","0.9361090064048767","0.9454863667488098","0.9740685105323792","0.9641160368919373","0.9797449111938477","0.06716679111123085","0.05051262676715851","0.0966491624712944","0.9769942402839661","0.9721180200576782","0.9824956059455872","0.7455613851547241","0.734558641910553","0.7581895589828491","0.8437942862510681","0.8390847444534302","0.8529632687568665"
"55","0.9400349974632263","0.9353588223457336","0.9434858560562134","0.9694923877716064","0.9617404341697693","0.9742435812950134","0.05721430368721485","0.01650412566959858","0.11977994441986084","0.9743935942649842","0.969117283821106","0.9822455644607544","0.755188810825348","0.7325581312179565","0.7829457521438599","0.8089522322018942","0.7835708856582642","0.8339585065841675"
"56","0.9400350093841553","0.9336084127426147","0.945236325263977","0.9720680117607117","0.9658664464950562","0.9814953804016113","0.05933983437716961","0.01800450123846531","0.13415853679180145","0.9748687148094177","0.9622405767440796","0.9844961166381836","0.7501625299453736","0.732183039188385","0.7664415836334229","0.8281236886978149","0.7816954255104065","0.865341305732727"
"57","0.9413103222846985","0.9347336888313293","0.9459865093231201","0.9675168752670288","0.9566141366958618","0.9796199202537537","0.07189297378063202","0.021755438297986984","0.17179295420646667","0.9760940432548523","0.9692423343658447","0.9861215353012085","0.7607651948928833","0.7468116879463196","0.7794448733329773","0.8160790205001831","0.7934483885765076","0.8360840082168579"
"58","0.9400350093841553","0.9299824833869934","0.9456114172935486","0.9716428995132447","0.9676169157028198","0.9762440323829651","0.07431857921183109","0.02488121949136257","0.17929482460021973","0.9776944160461426","0.9702425599098206","0.9874968528747559","0.759714937210083","0.7349337339401245","0.7936984300613403","0.8394598563512167","0.8210802674293518","0.862090528011322"
"59","0.9385846376419067","0.9314828515052795","0.9451112747192383","0.971492874622345","0.961990475654602","0.9811202883720398","0.06549137383699417","0.016879219561815262","0.09589897841215134","0.9783445954322815","0.9723681211471558","0.9859964847564697","0.750862717628479","0.729057252407074","0.7799450159072876","0.8368758956591288","0.8289572596549988","0.8480870127677917"
"60","0.9422605633735657","0.9329832196235657","0.950112521648407","0.967066764831543","0.9491122961044312","0.9823706150054932","0.05616404116153717","0.028257064521312714","0.10140035301446915","0.9742435574531555","0.9624906182289124","0.9852463006973267","0.75151287317276","0.7153038382530212","0.7750687599182129","0.843085765838623","0.8187046647071838","0.8639659881591797"
"61","0.9385346293449401","0.9274818897247314","0.9471117854118347","0.9724431157112121","0.9603651165962219","0.9811202883720398","0.04976244121789932","0.01650412566959858","0.13465866446495056","0.979369843006134","0.9764941334724426","0.9821205139160156","0.7602650642395019","0.7451862692832947","0.7879469990730286","0.8352088133494059","0.8249562382698059","0.8487122058868408"
