"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MAX"
"51","0.9743095993995666","0.9728072285652161","0.9757551550865173","0.9568120837211609","0.9519014358520508","0.959871768951416","0.7469616234302521","0.4688611924648285","0.955078125","0.9490442156791687","0.9371553063392639","0.9572372436523438","0.9707921862602233","0.9594617486000061","0.98063725233078","0.9942536354064941","0.9918239712715149","0.9956889748573303"
"52","0.9748314142227172","0.9723441004753113","0.9771390557289124","0.958426296710968","0.9545978307723999","0.9616430997848511","0.7269766330718994","0.5485564470291138","0.8830769062042236","0.9477377653121948","0.9392999410629272","0.9524607062339783","0.9710765600204467","0.9621934294700623","0.9760054349899292","0.9929232796033224","0.9911625981330872","0.9938824772834778"
"53","0.9747165441513062","0.9720122218132019","0.9772485494613647","0.9582198262214661","0.9550057649612427","0.9627701044082642","0.7186308979988099","0.5376884341239929","0.8546895980834961","0.9475538611412049","0.9352563619613647","0.9597634673118591","0.9725924134254456","0.9702410101890564","0.9739917516708374","0.9948228597640991","0.9938879013061523","0.9953676462173462"
"54","0.975309157371521","0.97333163022995","0.9777836799621582","0.9567950248718262","0.9553343653678894","0.9588795304298401","0.7890175819396973","0.6784037947654724","0.8811880946159363","0.9486701726913452","0.9377874135971069","0.9583280086517334","0.9698848247528076","0.9593523144721985","0.9766896367073059","0.9933812816937765","0.9931455850601196","0.9935945272445679"
"55","0.9748837947845459","0.9711268544197083","0.9783991575241089","0.9549717545509339","0.9531571269035339","0.9568382501602173","0.7676097273826599","0.5302714109420776","0.91576087474823","0.9480466961860656","0.940781831741333","0.9568678140640259","0.9693486809730529","0.9647330045700073","0.9751635789871216","0.9950381517410278","0.9935532212257385","0.9969682693481445"
"56","0.973695695400238","0.9714285731315613","0.9754960536956787","0.9572262525558471","0.9551591873168945","0.9589644074440002","0.7613927483558655","0.6458333134651184","0.8639329075813293","0.9471351027488708","0.9344304800033569","0.9563037753105164","0.9673556327819824","0.9637846350669861","0.9756619334220886","0.9944118658701578","0.9926310777664185","0.9956814050674438"
"57","0.9733866810798645","0.9685259461402893","0.9771267771720886","0.9570807337760925","0.9537970423698425","0.9613689184188843","0.7796717166900635","0.5950292348861694","0.9029850363731384","0.9471093058586121","0.9362137317657471","0.9526574015617371","0.9644196987152099","0.9488289952278137","0.9772309064865112","0.9939518968264262","0.9926723837852478","0.9959028959274292"
"58","0.9728967189788819","0.9697170257568359","0.9760886430740356","0.95776926279068","0.9553778767585754","0.9602580070495605","0.7896065235137939","0.6239067316055298","0.9128312468528748","0.9478501558303833","0.93659907579422","0.9583011865615845","0.9675920844078064","0.9610432386398315","0.9764531254768372","0.9943156441052755","0.9923133254051208","0.9956586956977844"
"59","0.9739066600799561","0.9692617654800415","0.9759180545806885","0.956383466720581","0.9526695609092712","0.961216390132904","0.7991617798805237","0.6814814805984497","0.9087137579917908","0.9464819431304932","0.9349884390830994","0.9535810947418213","0.9686557292938233","0.9595403671264648","0.9794626235961914","0.9943647980690002","0.993514358997345","0.9954297542572021"
"60","0.9733176589012146","0.9698472023010254","0.9771022200584412","0.9549100160598755","0.9505994319915771","0.9582582116127014","0.7703265428543091","0.5191919207572937","0.9098591208457947","0.9465750932693482","0.9344494342803955","0.956741988658905","0.9643001794815064","0.9579392075538635","0.9709841012954712","0.9936562379201254","0.991895854473114","0.9955711960792542"
